Scheme,NAV
IDFC Corporate Bond Fund - Regular Half Yearly IDCW,10.7769
IDFC Corporate Bond Fund - Regular Monthly IDCW,10.6275
IDFC Corporate Bond Fund - Regular Periodic IDCW,10.4855
IDFC Corporate Bond Fund - Regular Quarterly IDCW,10.4207
Invesco Mutual Fund,
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1856.2651
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1261.1192
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2700.8856
Invesco India Corporate Bond Fund - Direct Plan - Growth,2700.0406
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1259.276
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1138.8691
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2680.1438
Invesco India Corporate Bond Fund - Growth,2554.3655
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1469.7616
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1136.8181
Kotak Mahindra Mutual Fund,
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3094.0673
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,1083.208
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option,3000.0876
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,1046.3543
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option,1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option,1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option,1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option,1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option,1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option,1202.9939
L&T Mutual Fund,
L&T Triple Ace Bond Fund - Direct Plan - Annual IDCW,12.4417
